Latejami
N,V,A,D,C
0-n,P-s,P-d,P/F-s,P/F-d,AP-s,AP-d,AP/F-s,AP/F-d,A/P-s,A/P-d,A/P/F-s,A/P/F-d,F-s,F-d,F/P-s,F/P-d
xonxankema,V,P-s,"to be rotten, putrid, spoiled, (gone) bad",xonxankemo,CHANGED,,3141
xonxankemupa,V,P-d,"rot, spoil, go bad, putrefy",xonxankema,SUFFIXED,,4064
tokemo,A,P-s,"general, nonspecific",kemo,MODIFIED,,917
tokema,V,P-s,"be general, nonspecific",tokemo,CHANGED,,2117
tinkemo,A,P-s,"pristine, untouched, wild, virgin, natural, unsullied, undeveloped, native, in its natural state",kemo,MODIFIED,,1316
tinkema,V,P-s,"be pristine, untouched, wild, virgin, natural, unsullied, undeveloped, native, in its natural state",tinkemo,CHANGED,,2360
bakemo,A,P-s,"gentle, tender, delicate, not harsh or severe",kemo,MODIFIED,,542
bakema,V,P-s,"be gentle, tender, delicate, not harsh or severe",bakemo,CHANGED,,1886
tikemo,A,P-s,"slippery, slick",kemo,MODIFIED,,905;ERGANE:15214
tikema,V,P-s,"be slippery, slick",tikemo,CHANGED,,2108
catikemo,A,P-s,"elegant, graceful",tikemo,MODIFIED,,2467;ERGANE:10117
catikema,V,P-s,"be elegant, graceful",catikemo,CHANGED,,3707
xakemo,A,P-s,"common/commonplace, usual, regular, prevalent",kemo,MODIFIED,,940
xakema,V,P-s,"be common/commonplace, usual, regular, prevalent",xakemo,CHANGED,,2124
kuxakemo,A,P-s,"typical, average, indicative",xakemo,MODIFIED,,2638
kuxakema,V,P-s,"be typical, average, indicative",kuxakemo,CHANGED,,3785
caxakemo,A,P-s,"normal, unexceptional",xakemo,MODIFIED,,2468
caxakema,V,P-s,"be normal, unexceptional",caxakemo,CHANGED,,3709
kema,V,P-s,"be big, large, having great size",kemo,CHANGED,,507
zonkemo,A,P-s,"thick, viscous, viscid",kemo,MODIFIED,,1379
zonkema,V,P-s,"be thick, viscous, viscid",zonkemo,CHANGED,,2387
cabukemo,A,P-s,"well-bred, genteel, cultured/cultivated, refined, polished",kemo,MODIFIED,,1433
cabukema,V,P-s,"be well-bred, genteel, cultured/cultivated, refined, polished",cabukemo,CHANGED,,2454
binkemo,A,P-s,"fancy, ornate",kemo,MODIFIED,,1036
binkema,V,P-s,"be fancy, ornate",binkemo,CHANGED,,2180
kinbinkemo,A,P-s,"ostentatious, pretentious, showy",binkemo,MODIFIED,,3089
kinbinkema,V,P-s,"be ostentatious, pretentious, showy",kinbinkemo,CHANGED,,4016
fomo,A,P-s,"small, little, having minimal size",kemo,OPPOSITE,antonyms of other scalar non-relational states,501;ERGANE:25539
cenfomo,A,P-s,"inferior, low-quality, rotten, lousy, poor, second-rate, low-grade, low-class",fomo,MODIFIED,,2220
cenfoma,V,P-s,"be inferior, low-quality, rotten, lousy, poor, second-rate, low-grade, low-class",cenfomo,CHANGED,,3471
joyfomo,A,P-s,"unavailable, inaccessible",fomo,MODIFIED,,2309
joyfoma,V,P-s,"be unavailable, inaccessible",joyfomo,CHANGED,,3554
fyufomo,A,P-s,"dull, blunt, unsharp, unedged",fomo,MODIFIED,,2288
fyufoma,V,P-s,"be dull, blunt, unsharp, unedged",fyufomo,CHANGED,,3531
bafomo,A,P-s,"rough, harsh, severe, not gentle",fomo,MODIFIED,,1883
bafoma,V,P-s,"be rough, harsh, severe, not gentle",bafomo,CHANGED,,3219
bofomo,A,P-s,"dry, not wet",fomo,MODIFIED,,1916;ERGANE:38975
bofoma,V,P-s,"be dry, not wet",bofomo,CHANGED,,3238
kebofomo,A,P-s,"parched, desiccated, very dry",bofomo,MODIFIED,,3755
kebofoma,V,P-s,"be parched, desiccated, very dry",kebofomo,CHANGED,,4431
tifomo,A,P-s,"sticky, tacky, gluey, gummy",fomo,MODIFIED,,2106;ERGANE:2459
tifoma,V,P-s,"be sticky, tacky, gluey, gummy",tifomo,CHANGED,,3386
catifomo,A,P-s,"inelegant, graceless",tifomo,MODIFIED,,3706
catifoma,V,P-s,"be inelegant, graceless",catifomo,CHANGED,,4365
jafomo,A,P-s,"poor, needy, poverty-stricken",fomo,MODIFIED,,1998;ERGANE:25225
jafoma,V,P-s,"be poor, needy, poverty-stricken",jafomo,CHANGED,,3309
tajafomo,A,P-s,"having bad-credit, not credit-worthy",jafomo,MODIFIED,,3804
tajafoma,V,P-s,"be having bad-credit, not credit-worthy",tajafomo,CHANGED,,4458
dinfomo,A,P-s,"unpleasant, disagreeable",fomo,MODIFIED,,2254
dinfoma,V,P-s,"be unpleasant, disagreeable",dinfomo,CHANGED,,3500
dawfomo,A,P-s,"old, not recent",fomo,MODIFIED,,2241
dawfoma,V,P-s,"be old, not recent",dawfomo,CHANGED,,3489
kayfomo,A,P-s,"unattractive, bad-looking",fomo,MODIFIED,,2325
bikayfomo,A,P-s,hideous,kayfomo,MODIFIED,,3842
bikayfoma,V,P-s,be hideous,bikayfomo,CHANGED,,4511
kayfoma,V,P-s,"be unattractive, bad-looking",kayfomo,CHANGED,,3565
kekayfomo,A,P-s,ugly,kayfomo,MODIFIED,,3927;ERGANE:25211
kekayfoma,V,P-s,be ugly,kekayfomo,CHANGED,,4596
cankayfomo,A,P-s,"plain, homely",kayfomo,MODIFIED,,3998;ERGANE:19757
cankayfoma,V,P-s,"be plain, homely",cankayfomo,CHANGED,,4664
kufomo,A,P-s,"rare, scarce",fomo,MODIFIED,,2083;ERGANE:36486
kufoma,V,P-s,"be rare, scarce",kufomo,CHANGED,,3370
donfomo,A,P-s,"unappetizing, foul-tasting, unpalatable, unsavory",fomo,MODIFIED,,2259
donfoma,V,P-s,"be unappetizing, foul-tasting, unpalatable, unsavory",donfomo,CHANGED,,3505
cadonfomo,A,P-s,"bland, tasteless",donfomo,MODIFIED,,3856
cadonfoma,V,P-s,"be bland, tasteless",cadonfomo,CHANGED,,4531
fyudonfomo,A,P-s,sour,donfomo,MODIFIED,,4010
fyudonfoma,V,P-s,be sour,fyudonfomo,CHANGED,,4677
kofomo,A,P-s,"foolish, unwise, imprudent, asinine, senseless, witless, dumb",fomo,MODIFIED,,2074;ERGANE:26224
kofoma,V,P-s,"be foolish, unwise, imprudent, asinine, senseless, witless, dumb",kofomo,CHANGED,,3356
zonfomo,A,P-s,"runny, watery, liquidy",fomo,MODIFIED,,2385
zonfoma,V,P-s,"be runny, watery, liquidy",zonfomo,CHANGED,,3645
tofomo,A,P-s,"detailed, specific, minute, full, meticulous",fomo,MODIFIED,,2115
tofoma,V,P-s,"be detailed, specific, minute, full, meticulous",tofomo,CHANGED,,3392
cafomo,A,P-s,"bad, lousy, execrable, undesirable, opposite of good",fomo,MODIFIED,,1928;ERGANE:36095
dawcafomo,A,P-s,"stale, not fresh",cafomo,MODIFIED,,3878;ERGANE:25499
dawcafoma,V,P-s,"be stale, not fresh",dawcafomo,CHANGED,,4547
cafoma,V,P-s,"be bad, lousy, execrable, undesirable, opposite of good",cafomo,CHANGED,,3250
kecafomo,A,P-s,"terrible, awful, nasty",cafomo,MODIFIED,,3757
kecafoma,V,P-s,"be terrible, awful, nasty",kecafomo,CHANGED,,4433
bicafomo,A,P-s,"atrocious, dreadful, abominable, execrable, deplorable, monstrous, outrageous",cafomo,MODIFIED,,3669
bicafoma,V,P-s,"be atrocious, dreadful, abominable, execrable, deplorable, monstrous, outrageous",bicafomo,CHANGED,,4333
cabufomo,A,P-s,"uncouth, earthy, crass, crude, coarse, not well-bred",fomo,MODIFIED,,2453
cabufoma,V,P-s,"be uncouth, earthy, crass, crude, coarse, not well-bred",cabufomo,CHANGED,,3696
kifomo,A,P-s,"dark, unlit",fomo,MODIFIED,,2069
kifoma,V,P-s,"be dark, unlit",kifomo,CHANGED,,3348
foma,V,P-s,"be small, little, having minimal size",fomo,CHANGED,,1855
kofomi,N,P-s,"fool, dolt, ninny, nincompoop, nitwit, foolish person",foma,CHANGED,,3357
xofomo,A,P-s,"weak, feeble, lacking strength",fomo,MODIFIED,,2136
xofoma,V,P-s,"be weak, feeble, lacking strength",xofomo,CHANGED,,3408
xafomo,A,P-s,"uncommon, unusual, irregular",fomo,MODIFIED,,2122
xafoma,V,P-s,"be uncommon, unusual, irregular",xafomo,CHANGED,,3398
caxafomo,A,P-s,"abnormal, not normal, aberrant, anomalous",xafomo,MODIFIED,,3708;ERGANE:29752
caxafoma,V,P-s,"be abnormal, not normal, aberrant, anomalous",caxafomo,CHANGED,,4367
kuxafomo,A,P-s,"untypical, non-representative",xafomo,MODIFIED,,3784
kuxafoma,V,P-s,"be untypical, non-representative",kuxafomo,CHANGED,,4452
binfomo,A,P-s,"drab, plain, dull, insipid",fomo,MODIFIED,,2179
binfoma,V,P-s,"be drab, plain, dull, insipid",binfomo,CHANGED,,3442
denfomo,A,P-s,"unholy, profane",fomo,MODIFIED,,2250
denfoma,V,P-s,"be unholy, profane",denfomo,CHANGED,,3495
kefomo,A,P-s,"tiny, miniscule",fomo,MODIFIED,,2053;ERGANE:25547
kefoma,V,P-s,"be tiny, miniscule",kefomo,CHANGED,,3339
joyfufomo,A,P-s,"unripe, raw, green, not ready to eat or harvest",fomo,MODIFIED,,2900
joyfufoma,V,P-s,"be unripe, raw, green, not ready to eat or harvest",joyfufomo,CHANGED,,3910
cawfomo,A,P-s,"rough, uneven, bumpy, unsmooth, coarse",fomo,MODIFIED,,2214
cawfoma,V,P-s,"be rough, uneven, bumpy, unsmooth, coarse",cawfomo,CHANGED,,3465
tinfomo,A,P-s,"developed, no longer pristine, modified from its natural state to a state suitable for man's needs",fomo,MODIFIED,,2358
tinfoma,V,P-s,"be developed, no longer pristine, modified from its natural state to a state suitable for man's needs",tinfomo,CHANGED,,3601
twafomo,A,P-s,"unfashionable, unstylish, not in fashion",fomo,MODIFIED,,2368
twafoma,V,P-s,"be unfashionable, unstylish, not in fashion",twafomo,CHANGED,,3608
zoyfomo,A,P-s,"unfriendly, cold, frosty, hostile, inimical, unamicable, uncompanionable, uncordial, unsociable",fomo,MODIFIED,,2391
kuzoyfomo,A,P-s,"unpopular, out of favor",zoyfomo,MODIFIED,,3937
kuzoyfoma,V,P-s,"be unpopular, out of favor",kuzoyfomo,CHANGED,,4607
zoyfoma,V,P-s,"be unfriendly, cold, frosty, hostile, inimical, unamicable, uncompanionable, uncordial, unsociable",zoyfomo,CHANGED,,3649
cafufomo,A,P-s,"chewy, tough",fomo,MODIFIED,,2458
cafufoma,V,P-s,"be chewy, tough",cafufomo,CHANGED,,3701
xabufomo,A,P-s,"inconvenient, incommodious",fomo,MODIFIED,,2681
xabufoma,V,P-s,"be inconvenient, incommodious",xabufomo,CHANGED,,3815
xabufomoni,N,P-s,"inconvenience, hassle, trouble",xabufoma,CHANGED,,4709
tefomo,A,P-s,"quiet, reticent, taciturn, indisposed to talk much",fomo,MODIFIED,,2101;ERGANE:23053
tefoma,V,P-s,"be quiet, reticent, taciturn, indisposed to talk much",tefomo,CHANGED,,3382
catefomo,A,P-s,"ineloquent, inarticulate",tefomo,MODIFIED,,3703
catefoma,V,P-s,"be ineloquent, inarticulate",catefomo,CHANGED,,4364
zoytefomo,A,P-s,"offensive, off-putting, unpleasant, objectionable, disagreeable",tefomo,MODIFIED,,3979;ERGANE:40559
zoytefoma,V,P-s,"be offensive, off-putting, unpleasant, objectionable, disagreeable",zoytefomo,CHANGED,,4640
caxanfomo,A,P-s,"stinky, smelly, fetid, rank, malodorous, odorous",fomo,MODIFIED,,2793
caxanfoma,V,P-s,"stink, smell (bad), reek",caxanfomo,CHANGED,,3866
jofomo,A,P-s,"slim, skinny, scrawny",fomo,MODIFIED,,2023
jofoma,V,P-s,"be slim, skinny, scrawny",jofomo,CHANGED,,3327
cenkemo,A,P-s,"highest-quality, superior, select, top-notch, preeminent, first-rate, first-class, crack",kemo,MODIFIED,,1099
cenkemono,A,P-s,"superior, preeminent, excellet",cenkemo,SUFFIXED,,2803
cenkemona,V,P-s,"be superior, preeminent, excellet",cenkemono,CHANGED,,3869
cenkemoni,N,P-s,"superiority, preeminence, excellence",cenkemono,CHANGED,,3870
cenkema,V,P-s,"be highest-quality, superior, select, top-notch, preeminent, first-rate, first-class, crack",cenkemo,CHANGED,,2221
xabukemo,A,P-s,"convenient, handy",kemo,MODIFIED,,1565
xabukema,V,P-s,"be convenient, handy",xabukemo,CHANGED,,2682
fyukemo,A,P-s,"sharp, keen, edged for cutting",kemo,MODIFIED,,1207;ERGANE:2133
fyukema,V,P-s,"be sharp, keen, edged for cutting",fyukemo,CHANGED,,2289
zoykemo,A,P-s,"friendly, amiable/amicable, congenial, agreeable, pleasant",kemo,MODIFIED,,1383
kuzoykemo,A,P-s,"popular, well-liked",zoykemo,MODIFIED,,2954
kuzoykema,V,P-s,"be popular, well-liked",kuzoykemo,CHANGED,,3938
zoykema,V,P-s,"be friendly, amiable/amicable, congenial, agreeable, pleasant",zoykemo,CHANGED,,2392
jokemo,A,P-s,"fat, plump, obese",kemo,MODIFIED,,794
jokema,V,P-s,"be fat, plump, obese",jokemo,CHANGED,,2024
donkemo,A,P-s,"tasty, delicious, savory, good-tasting, toothsome, palatable",kemo,MODIFIED,,1155
fyudonkemo,A,P-s,bitter,donkemo,MODIFIED,,3072
fyudonkema,V,P-s,be bitter,fyudonkemo,CHANGED,,4011
donkema,V,P-s,"be tasty, delicious, savory, good-tasting, toothsome, palatable",donkemo,CHANGED,,2260
cadonkemo,A,P-s,"savory, seasoned",donkemo,MODIFIED,,2781
cadonkema,V,P-s,"be savory, seasoned",cadonkemo,CHANGED,,3857
joykemo,A,P-s,"available, on hand, accessible",kemo,MODIFIED,,1238;ERGANE:15972
joykema,V,P-s,"be available, on hand, accessible",joykemo,CHANGED,,2311
cakemo,A,P-s,"good, desirable, nice, fine, positive, opposite of bad",kemo,MODIFIED,,615
kecakemo,A,P-s,"great, remarkable, splendid",cakemo,MODIFIED,,2594
kecakema,V,P-s,"be great, remarkable, splendid",kecakemo,CHANGED,,3758
bicakemo,A,P-s,"excellent, wonderful, magnificent, superb, extraordinary, exquisite, extremely good",cakemo,MODIFIED,,2412
bicakema,V,P-s,"be excellent, wonderful, magnificent, superb, extraordinary, exquisite, extremely good",bicakemo,CHANGED,,3670
cakema,V,P-s,"be good, desirable, nice, fine, positive, opposite of bad",cakemo,CHANGED,,1929
dawcakemo,A,P-s,"fresh, not stale",cakemo,MODIFIED,,2820;ERGANE:14075
dawcakema,V,P-s,"be fresh, not stale",dawcakemo,CHANGED,,3879
cancakemo,A,P-s,"so-so, not too bad, moderately good",cakemo,MODIFIED,,2785
cancakema,V,P-s,"be so-so, not too bad, moderately good",cancakemo,CHANGED,,3861
dawkemo,A,P-s,"new, recent",kemo,MODIFIED,,1132
dawkema,V,P-s,"be new, recent",dawkemo,CHANGED,,2243
dinkemo,A,P-s,"nice, pleasant, sweet",kemo,MODIFIED,,1151
dinkema,V,P-s,"be nice, pleasant, sweet",dinkemo,CHANGED,,2255
culo,A,P-s,"heavy, weighty, leaden",kemo,DERIVATE,"measurable physical states with corresponding, commonly used, measure words",492
feculo,A,P-s,"hot, of relatively high temperature",culo,MODIFIED,,1974
bifeculo,A,P-s,"scorching, torrid, blistering, scalding, extremely hot",feculo,MODIFIED,,3677
bifecula,V,P-s,"be scorching, torrid, blistering, scalding, extremely hot",bifeculo,CHANGED,,4336
fecula,V,P-s,"to be hot, of relatively high temperature",feculo,CHANGED,,3289
feculunza,V,P/F-s,have the temperature of,fecula,SUFFIXED,,4561
feculunzanga,V,F/P-s,be the reference for the temperature of P,feculunza,SUFFIXED,,5029
feculunzangaw,N,P/F-s,temperature of,feculunzanga,CHANGED,,5098
feculoni,N,P-s,"heat, warmth",fecula,CHANGED,,4392;ERGANE:3843
feculupa,V,P-d,"heat (up), rise in temperature",fecula,SUFFIXED,,4393
fofeculo,A,P-s,"warm, not that hot",feculo,MODIFIED,,3726;ERGANE:45987
fofecula,V,P-s,"be warm, not that hot",fofeculo,CHANGED,,4397
zufeculo,A,P-s,"lukewarm, tepid, barely hot",feculo,MODIFIED,,3835
zufecula,V,P-s,"be lukewarm, tepid, barely hot",zufeculo,CHANGED,,4501
jayculo,A,P-s,"deep, having great vertical depth",culo,MODIFIED,,2296
jaycula,V,P-s,"be deep, having great vertical depth",jayculo,CHANGED,,3538
jiculo,A,P-s,"tall, high, having great vertical length",culo,MODIFIED,,2016;ERGANE:2699
jicula,V,P-s,"be tall, high, having great vertical length",jiculo,CHANGED,,3322
kwaculo,A,P-s,"elastic, stretchable",culo,MODIFIED,,2342;ERGANE:10067
kwacula,V,P-s,"be elastic, stretchable",kwaculo,CHANGED,,3588
boculo,A,P-s,"humid, dank, muggy, sticky",culo,MODIFIED,,1915
bocula,V,P-s,"be humid, dank, muggy, sticky",boculo,CHANGED,,3234
jinculo,A,P-s,"steep, precipitous, sheer, bluff",culo,MODIFIED,,2302;ERGANE:22289
jincula,V,P-s,"be steep, precipitous, sheer, bluff",jinculo,CHANGED,,3547
zonculo,A,P-s,"old, aged, antiquated",culo,MODIFIED,,2384
zoncula,V,P-s,"be old, aged, antiquated",zonculo,CHANGED,,3643
bizonculo,A,P-s,"ancient, primeval, primordial",zonculo,MODIFIED,,3848
bizoncula,V,P-s,"be ancient, primeval, primordial",bizonculo,CHANGED,,4517
jeculo,A,P-s,"late, belated, tardy, not early or on time",culo,MODIFIED,,2005;ERGANE:28553
jecula,V,P-s,"to be late, belated, tardy, not early or on time",jeculo,CHANGED,,3313
jeculapa,V,A/P-d,"delay, postpone",jecula,SUFFIXED,,4408
foyculo,A,P-s,"loud [in sound volume], sonorous",culo,MODIFIED,,2284
foycula,V,P-s,"be loud [in sound volume], sonorous",foyculo,CHANGED,,3526
daculo,A,P-s,"high, elevated, lofty, having great altitude",culo,MODIFIED,,1948
dacula,V,P-s,"be high, elevated, lofty, having great altitude",daculo,CHANGED,,3269
faculo,A,P-s,"far (off), distant, remote, faraway",culo,MODIFIED,,1967
facula,V,P-s,"be far (off), distant, remote, faraway",faculo,CHANGED,,3284
faculoni,N,P-s,"remoteness, distance, separation",facula,CHANGED,,4390
faculunza,V,P/F-s,be far from,facula,SUFFIXED,,4558
faculunzanga,V,F/P-s,be the place P is distant from,faculunza,SUFFIXED,,5028
faculunzangaw,N,P/F-s,distance to,faculunzanga,CHANGED,,5097
toyculo,A,P-s,"long [temporal], lengthy, protracted, prolonged, long-lasting",culo,MODIFIED,,2364
toycula,V,P-s,"to be long [temporal], lengthy, protracted, prolonged, long-lasting",toyculo,CHANGED,,3604
toyculayga,V,AP/F-d,"time, measure the duration of",toycula,SUFFIXED,,4706
toyculunza,V,P/F-s,"last [temporal], go on, take, have a duration of",toycula,SUFFIXED,,4707
toyculunzanga,V,P/F-s,"last [temporal], go on, take, have a duration of",toyculunza,SUFFIXED,,5036
toyculunzangaw,N,P/F-s,"duration of, length [temporal], term, time/timing",toyculunzanga,CHANGED,,5102
toycule,D,P-s,"being long [temporal], durably",toycula,CHANGED,,4289
toyculunze,D,P/F-s,"for (a period/duration of), lasting",toycule,SUFFIXED,,4984
cula,V,P-s,"to be heavy, weighty, leaden",culo,CHANGED,,1844
culayga,V,AP/F-d,"weigh, measure the weight of",cula,SUFFIXED,,3477;ERGANE:32957
culunza,V,P/F-s,"weigh, have weight equal to",cula,SUFFIXED,,3478;ERGANE:32957
culunzanga,V,F/P-s,be the weight of,culunza,SUFFIXED,,4666
culunzangaw,N,P/F-s,"weight of, heft",culunzanga,CHANGED,,5001
delo,A,P-s,"light, low in weight",culo,OPPOSITE,antonyms of measurable physical states,1848
zidelo,A,P-s,"small, little, puny, low-volume [spatial], not spacious",delo,MODIFIED,,3422;ERGANE:25539
kuzidelo,A,P-s,"tenuous, thin, rarified, wispy",zidelo,MODIFIED,,4454
kuzidela,V,P-s,"be tenuous, thin, rarified, wispy",kuzidelo,CHANGED,,4831
zidela,V,P-s,"be small, little, puny, low-volume [spatial], not spacious",zidelo,CHANGED,,4176
fadelo,A,P-s,"near, close",delo,MODIFIED,,3285
fadela,V,P-s,"be near, close",fadelo,CHANGED,,4120
dundelo,A,P-s,"loose, insecure, slack, not fixed firmly in position",delo,MODIFIED,,3511;ERGANE:8244
dundela,V,P-s,"be loose, insecure, slack, not fixed firmly in position",dundelo,CHANGED,,4230
twadelo,A,P-s,"thin, narrow, slim",delo,MODIFIED,,3607
twadela,V,P-s,"be thin, narrow, slim",twadelo,CHANGED,,4292
dadelo,A,P-s,"low, not high or elevated, having small altitude",delo,MODIFIED,,3270
dadela,V,P-s,"be low, not high or elevated, having small altitude",dadelo,CHANGED,,4105
tidelo,A,P-s,"slow, leisurely, languid",delo,MODIFIED,,3384;ERGANE:26123
tidela,V,P-s,"be slow, leisurely, languid",tidelo,CHANGED,,4159
caydelo,A,P-s,"soft, yielding, not firm",delo,MODIFIED,,3469;ERGANE:28196
caydela,V,P-s,"be soft, yielding, not firm",caydelo,CHANGED,,4209
bodelo,A,P-s,"arid, dry",delo,MODIFIED,,3236
bodela,V,P-s,"be arid, dry",bodelo,CHANGED,,4090
jedelo,A,P-s,"early, premature, too soon",delo,MODIFIED,,3315
jedela,V,P-s,"be early, premature, too soon",jedelo,CHANGED,,4135
jaydelo,A,P-s,"shallow, not deep",delo,MODIFIED,,3540;ERGANE:26082
jaydela,V,P-s,"be shallow, not deep",jaydelo,CHANGED,,4252
jadelo,A,P-s,"inexpensive, low-cost, cheap, frugal",delo,MODIFIED,,3307;ERGANE:47938
jadela,V,P-s,"be inexpensive, low-cost, cheap, frugal",jadelo,CHANGED,,4132
dela,V,P-s,"be light, low in weight",delo,CHANGED,,3191
dedelo,A,P-s,"small, inconsiderable [in area]",delo,MODIFIED,,3275;ERGANE:25539
dedela,V,P-s,"be small, inconsiderable [in area]",dedelo,CHANGED,,4111
foydelo,A,P-s,"low [in sound volume], quiet, faint, soft",delo,MODIFIED,,3527
foydela,V,P-s,"be low [in sound volume], quiet, faint, soft",foydelo,CHANGED,,4247
fedelo,A,P-s,"cold, of relatively low temperature",delo,MODIFIED,,3290;ERGANE:67067
fofedelo,A,P-s,"cool, not that cold",fedelo,MODIFIED,,4398
fofedela,V,P-s,"be cool, not that cold",fofedelo,CHANGED,,4813
fedela,V,P-s,"be cold, of relatively low temperature",fedelo,CHANGED,,4125
kidelo,A,P-s,"dim, not bright",delo,MODIFIED,,3345
kidela,V,P-s,"be dim, not bright",kidelo,CHANGED,,4145
zedelo,A,P-s,"short [spatial], not long",delo,MODIFIED,,3418
zedela,V,P-s,"be short [spatial], not long",zedelo,CHANGED,,4174
cayzedelo,A,P-s,"flexible, pliable, pliant",zedelo,MODIFIED,,4538;ERGANE:13184
cayzedela,V,P-s,"be flexible, pliable, pliant",cayzedelo,CHANGED,,4863
toydelo,A,P-s,"short [temporal], brief",delo,MODIFIED,,3605
toydela,V,P-s,"be short [temporal], brief",toydelo,CHANGED,,4290
zondelo,A,P-s,"young, low in age",delo,MODIFIED,,3644;ERGANE:18210
zondela,V,P-s,"be young, low in age",zondelo,CHANGED,,4320
zondelono,A,P-s,"youthful, looking or seeming young",zondelo,CHANGED,,4637;ERGANE:68646
zondelona,V,P-s,"be youthful, looking or seeming young",zondelono,CHANGED,,4926
jidelo,A,P-s,short [in height],delo,MODIFIED,,3323
jidela,V,P-s,be short [in height],jidelo,CHANGED,,4138
kwadelo,A,P-s,"inelastic, unstretchable",delo,MODIFIED,,3589
kwadela,V,P-s,"be inelastic, unstretchable",kwadelo,CHANGED,,4278
jindelo,A,P-s,"shallow, not steep, shallowly sloped, at a small angle",delo,MODIFIED,,3548;ERGANE:26082
